,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2016-12-21,770.0,771.219970703125,765.7000122070312,770.5999755859375,770.5999755859375,2044600,AMZN,769.0739,766.3400268554688,0.0,1.52606201171875
2016-12-22,768.1199951171875,771.2100219726562,763.02001953125,766.3400268554688,766.3400268554688,2543600,AMZN,769.45123,760.5900268554688,0.0,-3.1112060546875
2016-12-23,764.5499877929688,766.5,757.989990234375,760.5900268554688,760.5900268554688,1981600,AMZN,768.83124,771.4000244140625,8.2412109375,0.0
2016-12-27,763.4000244140625,774.6500244140625,761.2000122070312,771.4000244140625,771.4000244140625,2638700,AMZN,768.78827,772.1300048828125,-2.61175537109375,0.0
2016-12-28,776.25,780.0,770.5,772.1300048828125,772.1300048828125,3301000,AMZN,770.1571,765.1500244140625,0.0,1.972900390625
2016-12-29,772.4000244140625,773.4000244140625,760.8499755859375,765.1500244140625,765.1500244140625,3158300,AMZN,770.79395,749.8699951171875,0.0,-5.6439208984375
2016-12-30,766.469970703125,767.4000244140625,748.280029296875,749.8699951171875,749.8699951171875,4139400,AMZN,769.3447,753.6699829101562,19.4747314453125,0.0
2017-01-03,757.9199829101562,758.760009765625,747.7000122070312,753.6699829101562,753.6699829101562,3521100,AMZN,766.65814,757.1799926757812,12.9881591796875,0.0
2017-01-04,758.3900146484375,759.6799926757812,754.2000122070312,757.1799926757812,757.1799926757812,2510500,AMZN,764.3086,780.4500122070312,7.12860107421875,0.0
2017-01-05,761.5499877929688,782.4000244140625,760.260009765625,780.4500122070312,780.4500122070312,5830100,AMZN,764.8404,795.989990234375,-15.609619140625,0.0
2017-01-06,782.3599853515625,799.4400024414062,778.47998046875,795.989990234375,795.989990234375,5986200,AMZN,769.5222,796.9199829101562,-26.4677734375,0.0
2017-01-09,798.0,801.77001953125,791.77001953125,796.9199829101562,796.9199829101562,3446100,AMZN,776.5296,795.9000244140625,0.0,20.390380859375
2017-01-10,796.5999755859375,798.0,789.5399780273438,795.9000244140625,795.9000244140625,2558400,AMZN,783.0748,799.02001953125,-12.8251953125,0.0
2017-01-11,793.6599731445312,799.5,789.510009765625,799.02001953125,799.02001953125,2992800,AMZN,788.4828,813.6400146484375,-10.5372314453125,0.0
2017-01-12,800.3099975585938,814.1300048828125,799.5,813.6400146484375,813.6400146484375,4873900,AMZN,794.4982,817.1400146484375,-19.14178466796875,0.0
2017-01-13,814.3200073242188,821.6500244140625,811.4000244140625,817.1400146484375,817.1400146484375,3791900,AMZN,801.3298,809.719970703125,0.0,15.81024169921875
2017-01-17,815.7000122070312,816.0,803.4400024414062,809.719970703125,809.719970703125,3670500,AMZN,806.5977,807.47998046875,0.0,3.12225341796875
2017-01-18,809.5,811.72998046875,804.27001953125,807.47998046875,807.47998046875,2354200,AMZN,809.8187,809.0399780273438,2.3387451171875,0.0
2017-01-19,810.0,813.510009765625,807.3200073242188,809.0399780273438,809.0399780273438,2540800,AMZN,811.9023,808.3300170898438,0.0,-2.8623046875
2017-01-20,815.280029296875,816.02001953125,806.260009765625,808.3300170898438,808.3300170898438,3376200,AMZN,813.39734,817.8800048828125,5.06732177734375,0.0
2017-01-23,806.7999877929688,818.5,805.0800170898438,817.8800048828125,817.8800048828125,2797500,AMZN,814.5,822.4400024414062,-3.3800048828125,0.0
2017-01-24,822.0,823.989990234375,814.5,822.4400024414062,822.4400024414062,2971700,AMZN,816.6729,836.52001953125,-5.76708984375,0.0
2017-01-25,825.7899780273438,837.4199829101562,825.2899780273438,836.52001953125,836.52001953125,3922600,AMZN,820.6848,839.1500244140625,-15.835205078125,0.0
2017-01-26,835.530029296875,843.8400268554688,833.0,839.1500244140625,839.1500244140625,3586300,AMZN,825.9163,835.77001953125,0.0,13.23370361328125
2017-01-27,839.0,839.7000122070312,829.4400024414062,835.77001953125,835.77001953125,2998700,AMZN,830.5122,830.3800048828125,0.0,5.2578125
2017-01-30,833.0,833.5,816.3800048828125,830.3800048828125,830.3800048828125,3747300,AMZN,832.8488,823.47998046875,0.0,-2.46881103515625
2017-01-31,823.75,826.989990234375,819.5599975585938,823.47998046875,823.47998046875,3137200,AMZN,832.95984,832.3499755859375,9.4798583984375,0.0
2017-02-01,829.2100219726562,833.780029296875,824.9400024414062,832.3499755859375,832.3499755859375,3850200,AMZN,833.19226,839.9500122070312,0.84228515625,0.0
2017-02-02,836.5900268554688,842.489990234375,828.260009765625,839.9500122070312,839.9500122070312,7350500,AMZN,834.56616,810.2000122070312,0.0,5.38385009765625
2017-02-03,806.719970703125,818.2999877929688,804.0,810.2000122070312,810.2000122070312,10868800,AMZN,831.662,807.6400146484375,0.0,-21.46197509765625
2017-02-06,809.7999877929688,810.719970703125,803.0,807.6400146484375,807.6400146484375,3897300,AMZN,827.00525,812.5,19.365234375,0.0
2017-02-07,809.3099975585938,816.1599731445312,807.5,812.5,812.5,3466100,AMZN,822.8449,819.7100219726562,10.34490966796875,0.0
2017-02-08,812.6900024414062,821.47998046875,812.5,819.7100219726562,819.7100219726562,2858000,AMZN,820.40436,821.3599853515625,0.6943359375,0.0
2017-02-09,821.5999755859375,825.0,819.7100219726562,821.3599853515625,821.3599853515625,2484900,AMZN,819.94727,827.4600219726562,-1.4127197265625,0.0
2017-02-10,823.8200073242188,828.0,822.8499755859375,827.4600219726562,827.4600219726562,2429600,AMZN,821.0346,836.530029296875,-6.4254150390625,0.0
2017-02-13,831.6199951171875,843.0,828.5499877929688,836.530029296875,836.530029296875,4172600,AMZN,824.2157,836.3900146484375,0.0,12.3143310546875
2017-02-14,837.0,838.3099975585938,831.4500122070312,836.3900146484375,836.3900146484375,2792400,AMZN,827.95984,842.7000122070312,-8.43017578125,0.0
2017-02-15,834.0,842.8099975585938,832.8200073242188,842.7000122070312,842.7000122070312,2968900,AMZN,831.7648,844.1400146484375,-10.93524169921875,0.0
2017-02-16,841.8400268554688,845.0,839.3800048828125,844.1400146484375,844.1400146484375,2714700,AMZN,835.7532,845.0700073242188,-8.3868408203125,0.0
2017-02-17,842.0,847.27001953125,840.72998046875,845.0700073242188,845.0700073242188,3112300,AMZN,839.3872,856.4400024414062,-5.68280029296875,0.0
2017-02-21,848.8400268554688,857.97998046875,847.25,856.4400024414062,856.4400024414062,3507700,AMZN,843.79675,855.6099853515625,0.0,12.64324951171875
2017-02-22,856.9500122070312,858.4299926757812,852.1799926757812,855.6099853515625,855.6099853515625,2617000,AMZN,848.34375,852.1900024414062,0.0,7.2662353515625
2017-02-23,857.5700073242188,860.8599853515625,848.0,852.1900024414062,852.1900024414062,3462000,AMZN,852.0253,845.239990234375,0.0,0.1646728515625
2017-02-24,844.6900024414062,845.8099975585938,837.75,845.239990234375,845.239990234375,3688000,AMZN,852.8785,848.6400146484375,7.63848876953125,0.0
2017-02-27,842.3800048828125,852.5,839.6699829101562,848.6400146484375,848.6400146484375,2713600,AMZN,852.7644,845.0399780273438,0.0,-4.1243896484375
2017-02-28,851.4500122070312,854.0900268554688,842.0499877929688,845.0399780273438,845.0399780273438,2793700,AMZN,852.59937,853.0800170898438,7.55938720703125,0.0
2017-03-01,853.0499877929688,854.8300170898438,849.010009765625,853.0800170898438,853.0800170898438,2760100,AMZN,853.1303,848.9099731445312,0.0,-0.05029296875
2017-03-02,853.0800170898438,854.8200073242188,847.280029296875,848.9099731445312,848.9099731445312,2132100,AMZN,853.59125,849.8800048828125,4.6812744140625,0.0
2017-03-03,847.2000122070312,851.989990234375,846.27001953125,849.8800048828125,849.8800048828125,1941100,AMZN,853.571,846.6099853515625,0.0,-3.69097900390625
2017-03-06,845.22998046875,848.489990234375,841.1199951171875,846.6099853515625,846.6099853515625,2610400,AMZN,852.77734,846.02001953125,0.0,-6.1673583984375
2017-03-07,845.47998046875,848.4600219726562,843.75,846.02001953125,846.02001953125,2247600,AMZN,851.851,850.5,5.83099365234375,0.0
2017-03-08,848.0,853.0700073242188,846.7899780273438,850.5,850.5,2286500,AMZN,851.6161,853.0,1.1160888671875,0.0
2017-03-09,851.0,856.4000244140625,850.3099975585938,853.0,853.0,2048200,AMZN,852.21564,852.4600219726562,0.0,0.78436279296875
2017-03-10,857.0,857.3499755859375,851.719970703125,852.4600219726562,852.4600219726562,2436400,AMZN,853.3985,854.5900268554688,0.9384765625,0.0
2017-03-13,851.77001953125,855.6900024414062,851.7100219726562,854.5900268554688,854.5900268554688,1909700,AMZN,854.4457,852.530029296875,0.0,0.14434814453125
2017-03-14,853.5499877929688,853.75,847.5499877929688,852.530029296875,852.530029296875,2130600,AMZN,855.02356,852.969970703125,2.4935302734375,0.0
2017-03-15,854.3300170898438,854.4500122070312,847.1099853515625,852.969970703125,852.969970703125,2562200,AMZN,855.3762,853.4199829101562,2.40625,0.0
2017-03-16,855.2999877929688,855.5,850.510009765625,853.4199829101562,853.4199829101562,1842300,AMZN,855.79974,852.3099975585938,0.0,-2.3797607421875
2017-03-17,853.489990234375,853.8300170898438,850.6400146484375,852.3099975585938,852.3099975585938,3384400,AMZN,855.98944,856.969970703125,3.679443359375,0.0
2017-03-20,851.510009765625,857.7999877929688,851.010009765625,856.969970703125,856.969970703125,2282700,AMZN,856.3516,843.2000122070312,0.0,0.61834716796875
2017-03-21,858.8400268554688,862.7999877929688,841.3099975585938,843.2000122070312,843.2000122070312,4382900,AMZN,856.24927,848.0599975585938,13.04925537109375,0.0
2017-03-22,840.4299926757812,849.3699951171875,839.0499877929688,848.0599975585938,848.0599975585938,2658700,AMZN,854.7574,847.3800048828125,0.0,-6.6973876953125
2017-03-23,848.2000122070312,850.8900146484375,844.7999877929688,847.3800048828125,847.3800048828125,1953000,AMZN,853.4777,845.6099853515625,0.0,-6.09771728515625
2017-03-24,851.6799926757812,851.7999877929688,843.530029296875,845.6099853515625,845.6099853515625,2138300,AMZN,852.53534,846.8200073242188,6.92535400390625,0.0
